id,name,category,auth_methods,self_serve,api_style,api_breadth,existing_mcp,openapi_spec_available,webhooks,in_composio_already,verdict,main_blocker,difficulty_1_to_5
outreach,Outreach,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
attio,Attio,unknown,unknown,unknown,rest,unknown,community,,True,False,unknown,unknown,4
salesloft,Salesloft,unknown,unknown,unknown,rest,unknown,none,,,False,unknown,unknown,4
stripe,Stripe,unknown,"api_key,bearer_token",unknown,unknown,unknown,community,,,True,unknown,unknown,4
freshsales,Freshsales,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
bigquery,BigQuery,unknown,"oauth2,api_key",free_self_serve,rest,unknown,none,,,False,unknown,unknown,2
figma,Figma,unknown,oauth2,free_self_serve,rest,unknown,none,True,True,False,unknown,unknown,2
miro,Miro,unknown,oauth2,unknown,rest,unknown,none,True,,False,unknown,unknown,4
snowflake,Snowflake,unknown,unknown,trial_self_serve,rest,unknown,none,,,True,unknown,unknown,4
quickbooks,QuickBooks,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
recruitee,Recruitee,unknown,api_key,unknown,unknown,unknown,none,,,False,unknown,unknown,4
gmail,Gmail,unknown,oauth2,unknown,rest,unknown,none,,True,True,unknown,unknown,4
xero,Xero,unknown,oauth2,unknown,unknown,unknown,none,,True,False,unknown,unknown,4
mixpanel,Mixpanel,unknown,unknown,unknown,unknown,unknown,none,,,True,unknown,unknown,4
amplitude,Amplitude,unknown,api_key,partnership_or_sales_gated,rest,unknown,none,,True,True,unknown,unknown,4
posthog,PostHog,unknown,api_key,free_self_serve,unknown,unknown,official,,,True,unknown,unknown,4
ramp,Ramp,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
brex,Brex,unknown,bearer_token,unknown,unknown,unknown,community,,,False,unknown,unknown,4
freshbooks,FreshBooks,unknown,"oauth2,bearer_token",trial_self_serve,unknown,unknown,none,,,False,unknown,unknown,4
sendgrid,SendGrid,unknown,unknown,unknown,unknown,unknown,none,,,True,unknown,unknown,4
postmark,Postmark,unknown,unknown,free_self_serve,rest,unknown,none,,,False,unknown,unknown,2
slack,Slack,unknown,oauth2,free_self_serve,unknown,unknown,official,,,True,unknown,unknown,4
mailchimp,Mailchimp,unknown,unknown,trial_self_serve,unknown,unknown,none,,True,True,unknown,unknown,4
fivetran,Fivetran,unknown,unknown,trial_self_serve,rest,unknown,none,,True,False,unknown,unknown,2
resend,Resend,unknown,"api_key,bearer_token",free_self_serve,unknown,unknown,none,,True,False,unknown,unknown,4
sentry,Sentry,unknown,unknown,trial_self_serve,unknown,unknown,official,,,False,unknown,unknown,4
tableau,Tableau,unknown,oauth2,free_self_serve,rest,unknown,none,,True,False,unknown,unknown,2
recurly,Recurly,unknown,unknown,partnership_or_sales_gated,unknown,unknown,none,,,False,unknown,unknown,4
wave,Wave,unknown,unknown,unknown,unknown,unknown,none,,,False,unknown,unknown,4
segment,Segment,unknown,bearer_token,trial_self_serve,rest,unknown,none,,,True,unknown,unknown,2
chargebee,Chargebee,unknown,api_key,unknown,rest,unknown,none,True,True,False,unknown,unknown,2
looker,Looker,unknown,"oauth2,api_key",free_self_serve,rest,unknown,none,,,False,unknown,unknown,2
metabase,Metabase,unknown,api_key,unknown,unknown,unknown,none,,,False,unknown,unknown,4
twilio,Twilio,unknown,unknown,trial_self_serve,unknown,unknown,community,,True,True,unknown,unknown,4
notion,Notion,unknown,"oauth2,api_key",unknown,rest,unknown,official,,True,True,unknown,unknown,4
gusto,Gusto,unknown,unknown,unknown,rest,unknown,none,,,False,unknown,unknown,4
intercom,Intercom,unknown,unknown,free_self_serve,unknown,unknown,none,,True,True,unknown,unknown,4
shopify,Shopify,unknown,api_key,free_self_serve,graphql,unknown,community,,,True,unknown,unknown,2
buffer,Buffer,unknown,"api_key,bearer_token",trial_self_serve,unknown,unknown,none,,,False,unknown,unknown,4
woocommerce,WooCommerce,unknown,api_key,free_self_serve,graphql,unknown,none,,True,False,unknown,unknown,2
hootsuite,Hootsuite,unknown,oauth2,unknown,rest,unknown,none,,,False,unknown,unknown,4
front,Front,unknown,oauth2,unknown,unknown,unknown,none,,,False,unknown,unknown,4
magento,Magento,unknown,"oauth2,api_key,bearer_token",unknown,graphql,unknown,none,,,False,unknown,unknown,4
zendesk,Zendesk,unknown,unknown,trial_self_serve,unknown,unknown,none,,True,True,unknown,unknown,4
discord,Discord,unknown,unknown,unknown,unknown,unknown,none,,,True,unknown,unknown,4
typeform,Typeform,unknown,unknown,free_self_serve,unknown,unknown,community,,True,True,unknown,unknown,4
github,GitHub,unknown,unknown,free_self_serve,rest,unknown,official,True,,True,unknown,unknown,2
gumroad,Gumroad,unknown,unknown,free_self_serve,unknown,unknown,none,,,False,unknown,unknown,4
linear,Linear,unknown,"oauth2,api_key",unknown,graphql,unknown,community,,,True,unknown,unknown,4
bitbucket,Bitbucket,unknown,unknown,unknown,rest,unknown,none,,True,False,unknown,unknown,4
